0	-1.99553
0.002	-1.95743
0.004	-1.94442
0.006	-1.88884
0.008	-1.88699
0.01	-1.79766
0.012	-1.99835
0.014	-1.98742
0.016	-1.93666
0.018	-2.01216
0.02	-1.99759
0.022	-2.00133
0.024	-1.98012
0.026	-1.98938
0.028	-1.92769
0.03	-1.81261
0.032	-1.91538
0.034	-1.85469
0.036	-1.94626
0.038	-1.98194
0.04	-1.96703
0.042	-1.84478
0.044	-1.91828
0.046	-1.90475
0.048	-1.83582
0.05	-1.89823
0.052	-1.82279
0.054	-1.8781
0.056	-1.96287
0.058	-1.94782
0.06	-1.94389
0.062	-1.96851
0.064	-1.91069
0.066	-1.83909
0.068	-1.9482
0.07	-1.78198
0.072	-1.82523
0.074	-1.89341
0.076	-2.00464
0.078	-2.01828
0.08	-2.15493
0.082	-1.8445
0.084	-1.91667
0.086	-1.85294
0.088	-1.84626
0.09	-1.87751
0.092	-1.86387
0.094	-1.84046
0.096	-2.02936
0.098	-2.1018
0.1	-1.9516
0.102	-1.95151
0.104	-1.97712
0.106	-1.84141
0.108	-1.79795
0.11	-1.85371
0.112	-1.96563
0.114	-1.91352
0.116	-2.00163
0.118	-2.06079
0.12	-1.99217
0.122	-1.86444
0.124	-1.965
0.126	-1.97263
0.128	-1.89841
0.13	-1.93301
0.132	-1.99039
0.134	-1.98089
0.136	-2.05033
0.138	-2.1596
0.14	-2.10286
0.142	-1.96348
0.144	-2.08015
0.146	-1.9992
0.148	-1.82148
0.15	-1.93188
0.152	-1.98142
0.154	-1.94208
0.156	-2.0064
0.158	-2.0378
0.16	-2.04512
0.162	-1.98916
0.164	-1.99286
0.166	-1.94685
0.168	-1.93928
0.17	-1.95058
0.172	-1.97886
0.174	-1.99145
0.176	-1.96633
0.178	-34.0261
0.18	21.9434
0.182	21.1045
0.184	21.0497
0.186	21.2101
0.188	21.5256
0.19	21.348
0.192	21.5087
0.194	21.613
0.196	21.6822
0.198	21.7665
0.2	21.9661
0.202	22.0924
0.204	22.2823
0.206	22.5541
0.208	22.8093
0.21	22.9876
0.212	23.0463
0.214	23.1455
